id,date,TotalCount,nCluster
8725112.0,3911.0,75695.0,6.0
1.2004852E7,3787.0,64896.0,6.0
1.5418054E7,3601.0,54283.0,6.0
1.5430313E7,3600.0,66782.0,6.0
1.6131215E7,3548.0,74597.0,6.0
1.6177626E7,3544.0,80957.0,6.0
1.6671012E7,3513.0,54544.0,6.0
1.6682114E7,3512.0,67542.0,6.0
1.829162E7,3440.0,64268.0,6.0
1.8825344E7,3420.0,55669.0,6.0
1.9880132E7,3398.0,57739.0,6.0
2.0162512E7,3394.0,65064.0,6.0
2.086259E7,3385.0,57446.0,6.0
2.1062734E7,3382.0,64289.0,6.0
2.2924748E7,3366.0,73986.0,6.0
2.3237572E7,3364.0,61657.0,6.0
2.3456724E7,3362.0,67537.0,6.0
2.4471436E7,3356.0,77072.0,6.0
2.581761E7,3349.0,76828.0,6.0
2.6575268E7,3346.0,59713.0,6.0
2.710912E7,3344.0,57868.0,6.0
2.7463702E7,3342.0,53465.0,6.0
2.7464152E7,3342.0,81971.0,6.0
2.8450532E7,3337.0,78803.0,6.0
3.4383892E7,3318.0,77801.0,6.0
3.4462356E7,3317.0,58319.0,6.0
3.6145912E7,3312.0,64990.0,6.0
3.6884248E7,3309.0,81906.0,6.0
3.7263056E7,3308.0,73624.0,6.0
4.754632E7,3263.0,67379.0,6.0
5.2197012E7,3250.0,75979.0,6.0
5.4731328E7,3241.0,59357.0,6.0
6.1327216E7,3219.0,56396.0,6.0
6.4189264E7,3209.0,68269.0,6.0
7.4559992E7,3172.0,58271.0,6.0
9.2811056E7,3100.0,63268.0,6.0
1.11341456E8,3030.0,65754.0,6.0
1.15542168E8,3015.0,77971.0,6.0
1.23618704E8,2990.0,59405.0,6.0
1.30128704E8,2969.0,69461.0,6.0
1.3688144E8,2950.0,62821.0,6.0
1.45338064E8,2927.0,52537.0,6.0
1.59254512E8,2889.0,69884.0,6.0
2.114E8,2758.0,60965.0,6.0
2.30826912E8,2705.0,58814.0,6.0
2.45025424E8,2670.0,73658.0,6.0
2.57124E8,2645.0,56285.0,6.0
2.80662656E8,2599.0,77101.0,6.0
3.05135168E8,2555.0,52816.0,6.0
3.06055488E8,2553.0,69838.0,6.0
3.4538528E8,2489.0,72819.0,6.0
3.67750496E8,2453.0,63532.0,6.0
4.59876416E8,2325.0,59642.0,6.0
4.7812976E8,2305.0,54756.0,6.0
5.25850432E8,2259.0,59762.0,6.0
5.7225709E8,2208.0,69296.0,6.0
6.2935994E8,2146.0,63334.0,6.0
7.1383002E8,1682.0,55531.0,6.0
7.784889E8,2098.0,65178.0,6.0
8.0801427E8,2084.0,71618.0,6.0
8.7906048E8,2047.0,61581.0,6.0
8.9846042E8,2039.0,55015.0,6.0
8.9890426E8,2038.0,71989.0,6.0
1.0783479E9,1958.0,61871.0,6.0
1.19905293E9,1918.0,54314.0,6.0
1.21366067E9,1915.0,57551.0,6.0
1.27612493E9,1893.0,71153.0,6.0
1.4076279E9,1843.0,72546.0,6.0
1.47363699E9,1817.0,53986.0,6.0
1.49451827E9,1809.0,53445.0,6.0
1.56438976E9,1785.0,59736.0,6.0
1.59880269E9,1772.0,61685.0,6.0
1.65017792E9,1751.0,52872.0,6.0
1.65053658E9,1751.0,60278.0,6.0
1.68048832E9,1739.0,60996.0,6.0
